# M_star [M_sun], T_star [K], M_disk [M_sun], alpha, R [au], T_disk [K], Sigma_gas [g/cm^2], eps, afrag [cm], OmegaK [1/s], tgr [s]
2.000000000000000111e-01,3.220000000000000000e+03,1.000000000000000021e-02,3.801420358883072798e-03,4.957564640546760160e+01,4.106775923712405785e+01,2.796052982348616878e-01,6.495402586896378665e-03,6.447592033008128602e-03,2.550821791044851742e-10,6.035507690750158691e+11
7.199999999999999456e-02,2.831000000000000000e+03,3.599999999999999901e-03,4.930980640201598937e-03,8.808477699182493126e-01,1.996475560058091219e+02,5.479214521098407786e+00,1.518750574107539941e-01,1.996519272516582635e-02,6.462233679911995532e-08,1.018898414554475546e+08
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,4.650260400115984426e-03,4.183281848290193450e-01,9.323453235073776568e+02,2.012745069908931725e+02,1.222920950574833156e-04,1.665135453682198285e-01,8.706749057894495355e-07,9.391729751500375748e+09
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,3.031479721004532780e-04,4.376593393668819054e+00,2.882487386111200749e+02,2.647159370241632814e+01,1.198825344882653576e-01,1.099502399604675995e+00,2.572926713580328437e-08,3.242027302748979330e+08
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,2.605992850476892587e-04,1.651877400380248773e+00,4.691875452161901876e+02,6.206104904968932345e+01,5.048375961194447731e-03,1.831501270588746344e+00,1.109596298845514509e-07,1.785185334750646353e+09
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,2.560911926402968577e-03,2.879674296374226117e+01,9.434461124945852362e+01,2.610172149661766472e+00,1.563745367523705909e-01,3.880881572049441758e-02,1.222288987029093949e-09,5.231907597093990326e+09
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,4.251964173684121559e-04,3.317704476176600537e+01,7.145129248512772335e+01,1.217332667215793585e+00,6.218983341737417403e-01,1.610267650237276471e-01,7.367093012400930616e-10,2.182651777590428352e+09
1.700000000000000122e-01,3.139000000000000000e+03,8.500000000000000611e-03,5.032910355207489105e-03,2.490993463881360626e+01,5.372258459756889692e+01,5.847882485172992695e-01,1.836215711837194467e-02,7.767160058416302561e-03,6.602878070886360564e-10,8.247893094585848999e+10
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,4.540153973338993502e-03,4.016307851419688824e+00,2.920810181030325339e+02,2.653100121780492771e+01,3.260275465249885124e-02,7.176528443355170706e-02,2.820323224735792878e-08,1.087543959355807543e+09
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,5.127349366388777620e-03,1.231855076768868740e+00,3.707725061949869882e+02,2.853655323063362559e+01,1.033657825464178240e-03,5.384241640302343812e-02,1.029706074081695533e-07,9.395284347832748413e+09
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,2.551821247734295008e-03,4.144772647767493545e+00,9.958298474984188431e+01,1.984606405775998450e+00,6.114331725533083241e-04,2.805100678644945750e-02,7.461336538874211008e-09,2.191968828488634033e+11
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,3.124066420914434813e-04,5.414677508563713326e-01,2.590291035676639240e+02,8.652031956926469647e+00,3.281484406860516456e-01,3.888269303928019727e-01,1.368483095619297220e-07,2.226846174614485353e+07
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,7.344108352056363245e-04,1.620711714815253046e+01,1.079192770283029574e+02,3.293356131821498778e+00,8.599871957955976080e-04,1.512055714136757156e-01,2.363658157451854155e-09,4.919526990834784546e+11
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,7.672267330996826061e-04,1.606698469334933677e+01,1.504424121077659890e+02,7.753704528898678561e+00,1.144800536711206365e-03,2.425734365238832735e-01,3.657885836078136278e-09,2.388031376805406799e+11
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,2.742686498992890232e-03,2.660601867864021841e+01,9.815147548666782029e+01,2.867760671400224837e+00,4.500066289001191100e-01,3.825729511775805697e-02,1.376319034458705210e-09,1.614588937418258905e+09
5.999999999999999778e-02,2.807000000000000000e+03,3.000000000000000062e-03,7.800043539319889089e-04,2.065807774201259939e+00,1.224999427027546659e+02,2.191935083075437607e+00,7.855770323456950921e-01,8.309626648716160469e-02,1.642511666401352960e-08,7.750018860634328425e+07
1.399999999999999911e+00,4.647000000000000000e+03,6.999999999999999278e-02,1.706160821097278679e-03,2.032921984465223986e+01,1.337452588080983276e+02,6.044324299907252396e+00,3.317400038655739930e-02,9.517053226441382630e-02,2.570103707484423641e-09,1.172874398226140785e+10
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,1.115431514755619647e-04,4.177973938314912816e-01,5.956511402979751892e+02,5.756929665354335413e+01,2.806145147597237724e-04,3.172875994077804851e+00,4.662824875876856324e-07,7.642593562085110664e+09
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,1.757668793935684331e-04,2.615564604237364144e+00,3.262291280062231067e+02,2.975446352187983123e+01,1.128313286673951216e-03,1.914264352699356353e+00,4.706732555251231386e-08,1.883001977342440414e+10
1.700000000000000122e-01,3.139000000000000000e+03,8.500000000000000611e-03,7.350747707508418962e-04,6.977133417312256114e+00,1.014809425779319554e+02,2.108805299564776803e+00,1.273584420177995610e-03,1.030656245583711217e-01,4.454270814693369706e-09,1.762769973264182434e+11
8.000000000000000167e-02,2.836000000000000000e+03,4.000000000000000083e-03,7.104196356273407599e-03,5.536772595360240912e-01,2.656957880607014886e+02,9.054808517943271795e+00,1.792637491692828863e-02,1.720692463901721259e-02,1.366871418494564610e-07,4.081124676111251116e+08
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,4.659375628170123011e-03,2.430590122748653492e+00,2.252454075487118530e+02,9.515609573094643281e+00,5.277961755568897351e-01,3.252375475783894632e-02,2.877800828101389116e-08,6.583745398116785288e+07
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,1.440132781421187306e-03,7.422435037495274113e-01,2.461490984695282407e+02,9.692020492576256530e+00,5.985741630219520298e-02,9.813697201041500506e-02,1.032629276217328137e-07,1.617847564391451180e+08
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,6.084168262265884398e-03,4.547252886864687760e-01,8.412818236817179240e+02,1.606722259326715232e+02,2.868809329384456718e-04,1.125932554424128040e-01,7.112702777184893858e-07,4.900762479582668304e+09
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,3.006742696396812035e-04,7.361734035569238443e-01,4.487296817020249478e+02,3.549210343824021407e+01,3.008998673933646335e-04,9.481809007207117057e-01,1.993551731232788887e-07,1.667057170447381592e+10
1.300000000000000044e+00,4.596000000000000000e+03,6.500000000000000222e-02,2.510727437840651246e-03,2.354558633936133738e+00,3.814713954606684183e+02,4.239073823532057617e+01,7.224630013570865900e-03,1.587684385656785713e-01,6.283116470368442771e-08,2.202973529008845329e+09
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,6.507585309668579166e-04,1.416033263858345936e+00,3.458204106117328820e+02,2.531298192483618337e+01,1.886689738375533663e-03,4.041539336655680104e-01,8.354924274066331103e-08,6.343909731250317574e+09
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,1.377590352075478623e-04,1.608641321896223220e+00,2.768738643081559871e+02,1.360672664489197459e+01,2.531994858395806560e-04,1.368659386523845445e+00,5.344898910045189790e-08,7.389204480453419495e+10
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,3.796741502261717638e-04,6.756418939896140330e+01,6.419645182958687712e+01,8.396877949021515075e-01,7.413342518931918118e-04,1.511048288742407875e-01,3.585030401671793022e-10,3.762643662051944824e+12
5.000000000000000278e-02,2.761000000000000000e+03,2.500000000000000486e-03,8.940394085491285003e-03,5.611366800397339372e-01,2.242525882397829662e+02,5.594960227765815475e+00,4.588425710234750321e-01,1.000979683348811843e-02,1.059131082691670048e-07,2.057721436063136905e+07
1.300000000000000044e-01,3.006000000000000000e+03,6.500000000000000569e-03,1.382413933273169120e-03,1.290140852104535263e+01,6.432564202515915497e+01,8.987049674046124759e-01,8.725619588576224439e-01,3.666517304664278915e-02,1.549115088840353960e-09,7.398097332568907738e+08
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,6.567839403538869650e-04,1.623916405806415941e+00,3.793879532069028073e+02,3.598988832893266476e+01,2.262749717417019985e-03,5.188094083801538803e-01,8.605323242691051234e-08,5.135660333051220894e+09
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,1.070373861839252774e-04,5.648768865537912021e-01,3.316464022711506345e+02,1.668994024941459031e+01,2.249132910540447561e-01,1.825164387922703968e+00,1.816279249593700094e-07,2.447948395078309625e+07
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,5.737128443973421804e-04,9.808898307946328998e+00,6.087004458861232337e+01,6.765484329022789511e-01,1.107754321256772395e-01,7.543304345135298794e-02,1.774875859511647394e-09,5.086142978596851349e+09
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,2.817853706133712638e-03,6.039669677947280491e+00,1.566642995024915024e+02,5.661459416120128374e+00,5.481115653891300427e-03,4.602037575328713631e-02,8.483555676312156897e-09,2.150567704520672989e+10
1.000000000000000000e+00,4.397000000000000000e+03,5.000000000000000278e-02,9.562840544342266977e-03,2.291398532060817672e+00,3.485420036506542374e+02,3.338851180427703014e+01,1.740373257044570716e-04,3.593116559655223918e-02,5.740064243980228741e-08,1.001015600002799225e+11
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,6.262382710703392336e-04,1.090073100582161114e+00,3.687627792771409077e+02,2.535706413136662718e+01,4.589254507571368042e-04,3.945007777354544998e-01,1.106405332807203685e-07,1.969443818873812103e+10
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,2.547232086974716460e-03,1.568090061651377987e+01,1.097149729566372400e+02,3.407237616102348987e+00,7.926443027293734733e-01,4.377981740387180271e-02,2.483629562833508572e-09,5.079662252648913860e+08
8.999999999999998279e-02,2.861000000000000000e+03,4.499999999999999660e-03,4.623680501227495402e-04,6.623389081383467492e+00,7.998347375551161065e+01,1.171016715002467290e+00,3.779077525331393014e-03,1.220690212306810157e-01,3.504035940005825769e-09,7.551715962095289612e+10
2.999999999999999889e-01,3.460000000000000000e+03,1.499999999999999944e-02,5.226941320030555581e-03,6.961154653738687026e-01,4.208921065224809581e+02,2.792352793558872648e+01,1.100959255138387076e-03,4.552737876725543309e-02,1.877614379620419227e-07,4.837515289844499588e+09
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,2.607349584062494240e-03,3.224541164000639171e+00,2.559151661297154874e+02,1.734082412430284847e+01,9.585678548321570069e-01,9.323385634848656289e-02,2.876834185247816747e-08,3.626288128429732472e+07
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,8.531784789063330890e-03,1.301916725561176769e+00,3.606581369385709763e+02,2.721113166161092067e+01,3.077442534696991361e-01,3.171961139380933409e-02,9.477152991147679739e-08,3.428721070954167843e+07
